"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 12, 2018","0.002770","0.002826","0.002826","0.002601","24.85K","-1.99%"
"Sep 11, 2018","0.002826","0.002928","0.002956","0.002720","29.72K","-3.86%"
"Sep 10, 2018","0.002939","0.002928","0.002990","0.002909","18.41K","0.39%"
"Sep 09, 2018","0.002928","0.002892","0.003036","0.002843","19.69K","0.72%"
"Sep 08, 2018","0.002907","0.003053","0.003096","0.002871","29.32K","-4.80%"
"Sep 07, 2018","0.003053","0.003109","0.003192","0.002967","31.55K","-1.77%"
"Sep 06, 2018","0.003109","0.002884","0.003149","0.002813","46.82K","7.79%"
"Sep 05, 2018","0.002884","0.003277","0.003374","0.002851","66.97K","-12.60%"
"Sep 04, 2018","0.003300","0.003172","0.003408","0.003100","53.44K","4.01%"
"Sep 03, 2018","0.003172","0.003004","0.003212","0.002942","28.69K","5.61%"
"Sep 02, 2018","0.003004","0.003125","0.003200","0.002984","31.59K","-3.88%"
"Sep 01, 2018","0.003125","0.002873","0.003222","0.002859","61.78K","8.74%"
"Aug 31, 2018","0.002874","0.002790","0.002879","0.002730","20.50K","3.18%"
"Aug 30, 2018","0.002785","0.002821","0.002850","0.002700","25.52K","-1.13%"
"Aug 29, 2018","0.002817","0.003000","0.003014","0.002793","30.67K","-6.53%"
"Aug 28, 2018","0.003014","0.002994","0.003057","0.002870","38.42K","1.25%"
"Aug 27, 2018","0.002977","0.002605","0.003010","0.002584","38.56K","14.26%"
"Aug 26, 2018","0.002605","0.002632","0.002632","0.002539","9.28K","-1.03%"
"Aug 25, 2018","0.002632","0.002660","0.002700","0.002580","13.79K","-1.03%"
"Aug 24, 2018","0.002660","0.002716","0.002728","0.002617","20.78K","-2.06%"
"Aug 23, 2018","0.002716","0.002580","0.002716","0.002580","21.22K","5.24%"
"Aug 22, 2018","0.002580","0.002734","0.002820","0.002542","23.35K","-6.48%"
"Aug 21, 2018","0.002759","0.002751","0.002835","0.002650","19.10K","0.77%"
"Aug 20, 2018","0.002738","0.003009","0.003057","0.002702","35.44K","-9.01%"
"Aug 19, 2018","0.003009","0.002923","0.003128","0.002794","30.34K","2.95%"
"Aug 18, 2018","0.002923","0.003116","0.003174","0.002733","51.41K","-6.21%"
"Aug 17, 2018","0.003116","0.002575","0.003155","0.002572","94.26K","21.03%"
"Aug 16, 2018","0.002575","0.002500","0.002663","0.002475","46.30K","2.99%"
"Aug 15, 2018","0.002500","0.002588","0.002730","0.002478","66.86K","-3.38%"
"Aug 14, 2018","0.002587","0.002509","0.002624","0.002328","89.30K","3.05%"
"Aug 13, 2018","0.002511","0.002941","0.002981","0.002508","40.35K","-14.40%"
"Aug 12, 2018","0.002933","0.002941","0.003030","0.002890","18.61K","-0.28%"
"Aug 11, 2018","0.002941","0.003227","0.003227","0.002869","91.38K","-8.49%"
"Aug 10, 2018","0.003214","0.003420","0.003462","0.003206","39.86K","-6.02%"
"Aug 09, 2018","0.003420","0.003508","0.003600","0.003420","19.30K","-2.51%"
"Aug 08, 2018","0.003508","0.003723","0.003744","0.003411","30.31K","-5.77%"
"Aug 07, 2018","0.003723","0.003780","0.003880","0.003676","17.67K","-1.52%"
"Aug 06, 2018","0.003780","0.003901","0.003984","0.003757","8.89K","-3.09%"
"Aug 05, 2018","0.003901","0.003794","0.003984","0.003788","7.28K","2.80%"
"Aug 04, 2018","0.003794","0.003760","0.003850","0.003700","11.02K","0.92%"
"Aug 03, 2018","0.003760","0.003733","0.003780","0.003600","26.86K","0.71%"
"Aug 02, 2018","0.003733","0.003926","0.003935","0.003691","14.32K","-4.89%"
"Aug 01, 2018","0.003925","0.003860","0.004001","0.003785","13.12K","1.70%"
"Jul 31, 2018","0.003860","0.003919","0.003940","0.003813","25.78K","-1.51%"
"Jul 30, 2018","0.003919","0.004053","0.004084","0.003847","15.53K","-3.33%"
"Jul 29, 2018","0.004053","0.004130","0.004157","0.004044","7.71K","-1.85%"
"Jul 28, 2018","0.004130","0.004080","0.004130","0.004016","16.97K","1.23%"
"Jul 27, 2018","0.004080","0.004196","0.004200","0.004041","9.45K","-2.76%"
"Jul 26, 2018","0.004196","0.004186","0.004298","0.004144","23.36K","0.24%"
"Jul 25, 2018","0.004186","0.004012","0.004238","0.004012","21.94K","3.67%"
"Jul 24, 2018","0.004038","0.004155","0.004327","0.003935","36.77K","-2.82%"
"Jul 23, 2018","0.004155","0.004481","0.004518","0.004151","21.88K","-7.27%"
"Jul 22, 2018","0.004481","0.004630","0.004645","0.004450","12.22K","-3.22%"
"Jul 21, 2018","0.004630","0.004513","0.004741","0.004415","32.63K","2.58%"
"Jul 20, 2018","0.004513","0.004837","0.004837","0.004500","24.86K","-6.80%"
"Jul 19, 2018","0.004843","0.005100","0.005111","0.004772","21.59K","-5.04%"
"Jul 18, 2018","0.005100","0.005349","0.005393","0.005060","33.99K","-5.15%"
"Jul 17, 2018","0.005377","0.005472","0.005577","0.005329","29.02K","-1.74%"
"Jul 16, 2018","0.005472","0.005297","0.005550","0.005200","21.18K","3.83%"
"Jul 15, 2018","0.005270","0.005210","0.005326","0.005127","10.65K","1.15%"
"Jul 14, 2018","0.005210","0.005328","0.005365","0.005099","15.34K","-2.22%"
"Jul 13, 2018","0.005328","0.005135","0.005394","0.005100","21.70K","4.25%"
"Jul 12, 2018","0.005111","0.005282","0.005290","0.005000","15.77K","-3.23%"
"Jul 11, 2018","0.005282","0.005303","0.005407","0.005080","17.52K","-0.41%"
"Jul 10, 2018","0.005303","0.005455","0.005510","0.005178","28.87K","-2.78%"
"Jul 09, 2018","0.005455","0.005830","0.005838","0.005455","20.63K","-6.43%"
"Jul 08, 2018","0.005830","0.005703","0.006095","0.005703","31.58K","2.23%"
"Jul 07, 2018","0.005703","0.005700","0.005738","0.005560","15.90K","0.05%"
"Jul 06, 2018","0.005700","0.006160","0.006190","0.005622","35.71K","-7.33%"
"Jul 05, 2018","0.006151","0.006150","0.006520","0.006008","61.72K","0.01%"
"Jul 04, 2018","0.006150","0.005521","0.006366","0.005415","108.34K","11.82%"
"Jul 03, 2018","0.005500","0.005489","0.005807","0.005411","47.63K","0.91%"
"Jul 02, 2018","0.005450","0.004915","0.005637","0.004906","54.60K","10.89%"
"Jul 01, 2018","0.004915","0.004808","0.004948","0.004710","18.51K","2.22%"
"Jun 30, 2018","0.004808","0.004761","0.004980","0.004693","20.12K","1.00%"
"Jun 29, 2018","0.004761","0.004830","0.004857","0.004642","24.90K","-0.82%"
"Jun 28, 2018","0.004800","0.004939","0.004976","0.004792","17.71K","-2.80%"
"Jun 27, 2018","0.004939","0.004926","0.005010","0.004850","17.42K","-0.55%"
"Jun 26, 2018","0.004966","0.005059","0.005120","0.004900","24.25K","-1.86%"
"Jun 25, 2018","0.005060","0.005061","0.005220","0.005010","13.38K","-0.40%"
"Jun 24, 2018","0.005080","0.005524","0.005538","0.005000","38.47K","-8.03%"
"Jun 23, 2018","0.005524","0.005472","0.005600","0.005400","12.20K","0.95%"
"Jun 22, 2018","0.005472","0.005598","0.005621","0.005356","16.98K","-2.25%"
"Jun 21, 2018","0.005598","0.005745","0.005835","0.005545","16.63K","-2.56%"
"Jun 20, 2018","0.005745","0.005882","0.005933","0.005701","15.76K","-2.33%"
"Jun 19, 2018","0.005882","0.005859","0.006050","0.005820","11.72K","0.40%"
"Jun 18, 2018","0.005859","0.006003","0.006003","0.005752","11.67K","-2.40%"
"Jun 17, 2018","0.006003","0.005873","0.006044","0.005761","9.46K","2.22%"
"Jun 16, 2018","0.005873","0.005935","0.005980","0.005714","9.84K","-1.05%"
"Jun 15, 2018","0.005935","0.006141","0.006150","0.005925","13.85K","-3.35%"
"Jun 14, 2018","0.006141","0.006055","0.006258","0.005940","26.24K","1.84%"
"Jun 13, 2018","0.006030","0.006323","0.006346","0.005810","37.45K","-3.94%"
"Jun 12, 2018","0.006277","0.006634","0.006829","0.006240","24.46K","-5.39%"
"Jun 11, 2018","0.006634","0.006726","0.006730","0.006378","23.47K","-0.76%"
"Jun 10, 2018","0.006685","0.006800","0.006880","0.006570","16.12K","-1.69%"
"Jun 09, 2018","0.006800","0.006876","0.006976","0.006760","8.40K","-1.10%"
"Jun 08, 2018","0.006876","0.006936","0.007006","0.006819","11.14K","-0.87%"
"Jun 07, 2018","0.006936","0.007043","0.007122","0.006900","12.31K","-1.38%"
"Jun 06, 2018","0.007033","0.007119","0.007171","0.007025","11.60K","-1.21%"
"Jun 05, 2018","0.007119","0.007105","0.007210","0.007012","11.62K","0.20%"
"Jun 04, 2018","0.007105","0.007323","0.007392","0.007011","17.94K","-2.98%"
"Jun 03, 2018","0.007323","0.007405","0.007500","0.007261","11.14K","-1.63%"
"Jun 02, 2018","0.007445","0.007399","0.007490","0.007330","10.09K","0.62%"
"Jun 01, 2018","0.007399","0.007062","0.007420","0.007061","19.49K","4.77%"
"May 31, 2018","0.007062","0.006938","0.007150","0.006911","17.32K","1.71%"
"May 30, 2018","0.006943","0.006970","0.007114","0.006880","11.82K","-0.39%"
"May 29, 2018","0.006970","0.006730","0.007160","0.006730","14.72K","3.57%"
"May 28, 2018","0.006730","0.007170","0.007190","0.006722","21.60K","-6.32%"
"May 27, 2018","0.007184","0.007080","0.007184","0.007015","8.16K","1.47%"
"May 26, 2018","0.007080","0.007043","0.007200","0.006928","9.80K","0.52%"
"May 25, 2018","0.007043","0.007254","0.007394","0.007013","21.19K","-2.85%"
"May 24, 2018","0.007249","0.006910","0.007249","0.006850","23.44K","4.74%"
"May 23, 2018","0.006921","0.007159","0.007220","0.006895","32.72K","-3.32%"
"May 22, 2018","0.007159","0.007420","0.007420","0.007118","17.78K","-3.69%"
"May 21, 2018","0.007433","0.007460","0.007750","0.007280","28.81K","-0.36%"
"May 20, 2018","0.007460","0.007162","0.007510","0.007137","10.22K","3.91%"
"May 19, 2018","0.007179","0.007236","0.007290","0.007103","6.17K","-0.78%"
"May 18, 2018","0.007236","0.007145","0.007341","0.007080","15.62K","1.27%"
"May 17, 2018","0.007145","0.007400","0.007525","0.007038","20.45K","-3.45%"
"May 16, 2018","0.007400","0.007430","0.007510","0.007280","24.89K","-0.40%"
"May 15, 2018","0.007430","0.007630","0.007900","0.007365","18.41K","-2.82%"
"May 14, 2018","0.007646","0.007798","0.007920","0.007520","28.13K","-1.95%"
"May 13, 2018","0.007798","0.007635","0.007970","0.007530","25.49K","2.08%"
"May 12, 2018","0.007638","0.007567","0.007810","0.007161","27.49K","2.04%"
"May 11, 2018","0.007486","0.007730","0.007848","0.007120","56.75K","-3.10%"
"May 10, 2018","0.007726","0.008150","0.008200","0.007726","22.53K","-5.21%"
"May 09, 2018","0.008150","0.008352","0.008388","0.008055","18.40K","-2.03%"
"May 08, 2018","0.008319","0.008430","0.008568","0.008292","17.69K","-1.40%"
"May 07, 2018","0.008437","0.008678","0.008690","0.008230","25.28K","-2.77%"
"May 06, 2018","0.008678","0.008567","0.008925","0.008450","27.14K","1.26%"
"May 05, 2018","0.008570","0.008687","0.008749","0.008541","22.47K","-1.49%"
"May 04, 2018","0.008700","0.008966","0.009056","0.008571","26.45K","-3.10%"
"May 03, 2018","0.008978","0.009188","0.009457","0.008910","50.05K","-2.53%"
"May 02, 2018","0.009211","0.009329","0.009400","0.009070","31.95K","-1.26%"
"May 01, 2018","0.009329","0.009069","0.009360","0.008766","49.19K","3.11%"
"Apr 30, 2018","0.009047","0.009635","0.010251","0.008912","146.11K","-6.37%"
"Apr 29, 2018","0.009662","0.008208","0.009857","0.008190","176.44K","17.66%"
"Apr 28, 2018","0.008212","0.008104","0.008372","0.008050","23.39K","1.34%"
"Apr 27, 2018","0.008104","0.008317","0.008327","0.008086","22.46K","-2.90%"
"Apr 26, 2018","0.008346","0.008029","0.008350","0.007982","35.93K","3.94%"
"Apr 25, 2018","0.008029","0.008552","0.008552","0.007800","67.73K","-5.99%"
"Apr 24, 2018","0.008541","0.008563","0.008954","0.008479","55.56K","0.59%"
"Apr 23, 2018","0.008490","0.008370","0.008786","0.008357","47.74K","1.44%"
