"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2018","0.008070","0.008250","0.008270","0.008010","12.14K","-2.18%"
"Dec 30, 2018","0.008250","0.008193","0.008330","0.008115","15.46K","0.86%"
"Dec 29, 2018","0.008180","0.008300","0.008465","0.008118","23.02K","-1.45%"
"Dec 28, 2018","0.008300","0.007715","0.008486","0.007715","33.97K","7.58%"
"Dec 27, 2018","0.007715","0.008015","0.008089","0.007610","17.46K","-3.74%"
"Dec 26, 2018","0.008015","0.008149","0.008275","0.007825","21.87K","-1.64%"
"Dec 25, 2018","0.008149","0.008155","0.008249","0.008010","24.25K","-0.08%"
"Dec 24, 2018","0.008155","0.008396","0.008629","0.008083","28.64K","-2.87%"
"Dec 23, 2018","0.008396","0.007940","0.008511","0.007923","28.84K","5.75%"
"Dec 22, 2018","0.007940","0.007878","0.007958","0.007823","9.06K","0.78%"
"Dec 21, 2018","0.007878","0.007948","0.008000","0.007750","19.19K","-0.87%"
"Dec 20, 2018","0.007948","0.007872","0.008034","0.007671","24.93K","0.96%"
"Dec 19, 2018","0.007872","0.008194","0.008450","0.007808","33.47K","-3.92%"
"Dec 18, 2018","0.008194","0.008260","0.008336","0.008024","22.36K","-0.66%"
"Dec 17, 2018","0.008248","0.007903","0.008522","0.007903","52.54K","4.37%"
"Dec 16, 2018","0.007903","0.007350","0.008185","0.007340","53.46K","7.52%"
"Dec 15, 2018","0.007350","0.007237","0.007414","0.007169","18.89K","1.56%"
"Dec 14, 2018","0.007237","0.006990","0.007244","0.006906","16.17K","3.46%"
"Dec 13, 2018","0.006995","0.007003","0.007080","0.006970","19.59K","-0.11%"
"Dec 12, 2018","0.007003","0.006925","0.007184","0.006925","25.63K","1.20%"
"Dec 11, 2018","0.006920","0.007034","0.007149","0.006868","20.92K","-1.62%"
"Dec 10, 2018","0.007034","0.007160","0.007179","0.006926","26.22K","-1.76%"
"Dec 09, 2018","0.007160","0.007115","0.007468","0.007115","23.51K","0.64%"
"Dec 08, 2018","0.007115","0.007339","0.007678","0.006902","44.99K","-3.26%"
"Dec 07, 2018","0.007355","0.007626","0.007669","0.006841","55.24K","-3.56%"
"Dec 06, 2018","0.007626","0.007775","0.007862","0.007492","27.16K","-1.91%"
"Dec 05, 2018","0.007775","0.007865","0.007956","0.007710","12.02K","-1.14%"
"Dec 04, 2018","0.007865","0.007974","0.008008","0.007859","7.21K","-1.37%"
"Dec 03, 2018","0.007974","0.008125","0.008158","0.007820","17.82K","-1.86%"
"Dec 02, 2018","0.008125","0.008136","0.008203","0.008036","8.39K","-0.34%"
"Dec 01, 2018","0.008153","0.007965","0.008233","0.007900","11.19K","2.36%"
"Nov 30, 2018","0.007965","0.007895","0.008022","0.007785","13.84K","0.82%"
"Nov 29, 2018","0.007900","0.008145","0.008215","0.007867","20.88K","-3.01%"
"Nov 28, 2018","0.008145","0.008160","0.008450","0.007935","31.62K","-0.18%"
"Nov 27, 2018","0.008160","0.007814","0.008168","0.007806","19.03K","4.43%"
"Nov 26, 2018","0.007814","0.007715","0.007950","0.007612","32.89K","1.28%"
"Nov 25, 2018","0.007715","0.007594","0.007820","0.007420","41.92K","1.59%"
"Nov 24, 2018","0.007594","0.007415","0.007797","0.007321","32.16K","2.35%"
"Nov 23, 2018","0.007420","0.007350","0.007567","0.007300","13.68K","0.95%"
"Nov 22, 2018","0.007350","0.007530","0.007585","0.007350","10.92K","-2.39%"
"Nov 21, 2018","0.007530","0.007402","0.007531","0.007198","20.99K","1.73%"
"Nov 20, 2018","0.007402","0.007550","0.007710","0.007092","40.87K","-2.09%"
"Nov 19, 2018","0.007560","0.007515","0.007562","0.007026","24.28K","0.60%"
"Nov 18, 2018","0.007515","0.007530","0.007663","0.007500","7.69K","-0.20%"
"Nov 17, 2018","0.007530","0.007575","0.007609","0.007500","5.52K","-0.59%"
"Nov 16, 2018","0.007575","0.007770","0.007801","0.007562","8.08K","-2.51%"
"Nov 15, 2018","0.007770","0.007615","0.007895","0.007500","25.99K","2.04%"
"Nov 14, 2018","0.007615","0.007798","0.007941","0.007100","54.74K","-2.51%"
"Nov 13, 2018","0.007811","0.007934","0.007995","0.007700","6.79K","-1.56%"
"Nov 12, 2018","0.007934","0.007978","0.008023","0.007850","7.09K","-0.55%"
"Nov 11, 2018","0.007978","0.008160","0.008171","0.007837","12.13K","-2.23%"
"Nov 10, 2018","0.008160","0.008135","0.008200","0.008100","3.01K","0.31%"
"Nov 09, 2018","0.008135","0.008141","0.008180","0.008089","4.32K","-0.07%"
"Nov 08, 2018","0.008141","0.008270","0.008340","0.008107","6.58K","-1.57%"
"Nov 07, 2018","0.008270","0.008650","0.008668","0.008202","9.90K","-4.39%"
"Nov 06, 2018","0.008650","0.008340","0.008666","0.008328","9.46K","3.72%"
"Nov 05, 2018","0.008340","0.008408","0.008488","0.008217","10.01K","-0.80%"
"Nov 04, 2018","0.008408","0.008000","0.008650","0.007975","22.74K","5.09%"
"Nov 03, 2018","0.008000","0.008042","0.008079","0.007985","3.86K","-0.52%"
"Nov 02, 2018","0.008042","0.007890","0.008097","0.007880","5.49K","1.93%"
"Nov 01, 2018","0.007890","0.007835","0.007929","0.007830","4.21K","0.70%"
"Oct 31, 2018","0.007835","0.007794","0.007918","0.007695","7.83K","0.58%"
"Oct 30, 2018","0.007790","0.007755","0.007842","0.007740","7.09K","0.45%"
"Oct 29, 2018","0.007755","0.008018","0.008046","0.007620","16.06K","-3.24%"
"Oct 28, 2018","0.008015","0.008054","0.008063","0.008000","1.87K","-0.37%"
"Oct 27, 2018","0.008044","0.008049","0.008078","0.008010","5.38K","-0.06%"
"Oct 26, 2018","0.008049","0.008095","0.008110","0.008006","5.70K","-0.49%"
"Oct 25, 2018","0.008089","0.008090","0.008120","0.008060","3.14K","-0.01%"
"Oct 24, 2018","0.008090","0.008140","0.008151","0.008060","5.57K","-0.50%"
"Oct 23, 2018","0.008130","0.008079","0.008214","0.008051","3.59K","0.63%"
"Oct 22, 2018","0.008079","0.008135","0.008178","0.008036","4.74K","-0.68%"
"Oct 21, 2018","0.008135","0.008253","0.008261","0.008120","3.70K","-1.43%"
"Oct 20, 2018","0.008253","0.008210","0.008275","0.008200","2.59K","0.27%"
"Oct 19, 2018","0.008230","0.008080","0.008330","0.008063","6.64K","1.79%"
"Oct 18, 2018","0.008085","0.008205","0.008221","0.008032","5.90K","-1.46%"
"Oct 17, 2018","0.008205","0.008220","0.008232","0.008132","5.22K","-0.18%"
"Oct 16, 2018","0.008220","0.008320","0.008400","0.008155","8.65K","-1.08%"
"Oct 15, 2018","0.008310","0.008280","0.008650","0.008131","21.74K","0.13%"
"Oct 14, 2018","0.008299","0.008530","0.008550","0.008252","6.56K","-2.71%"
"Oct 13, 2018","0.008530","0.008545","0.008670","0.008480","4.32K","-0.18%"
"Oct 12, 2018","0.008545","0.008210","0.008575","0.008150","9.49K","4.08%"
"Oct 11, 2018","0.008210","0.008791","0.008820","0.008149","25.28K","-6.60%"
"Oct 10, 2018","0.008790","0.008865","0.008877","0.008735","4.97K","-0.85%"
"Oct 09, 2018","0.008865","0.008950","0.008961","0.008796","9.68K","-0.95%"
"Oct 08, 2018","0.008950","0.008806","0.008994","0.008727","7.20K","1.63%"
"Oct 07, 2018","0.008806","0.008799","0.008921","0.008704","5.78K","0.08%"
"Oct 06, 2018","0.008799","0.008876","0.008939","0.008650","6.95K","-0.87%"
"Oct 05, 2018","0.008876","0.008868","0.008964","0.008720","6.59K","0.09%"
"Oct 04, 2018","0.008868","0.008841","0.008972","0.008812","5.30K","0.31%"
"Oct 03, 2018","0.008841","0.009095","0.009122","0.008800","12.56K","-2.79%"
"Oct 02, 2018","0.009095","0.009136","0.009330","0.009066","8.39K","-0.45%"
"Oct 01, 2018","0.009136","0.009240","0.009330","0.009080","14.21K","-1.04%"
"Sep 30, 2018","0.009232","0.009320","0.009466","0.009150","9.92K","-1.00%"
"Sep 29, 2018","0.009325","0.009335","0.009439","0.009134","10.15K","-0.11%"
"Sep 28, 2018","0.009335","0.009470","0.009638","0.009180","16.88K","-1.42%"
"Sep 27, 2018","0.009470","0.008865","0.009850","0.008775","42.16K","6.82%"
"Sep 26, 2018","0.008865","0.008926","0.009150","0.008752","11.76K","-0.78%"
